GEOID,assignment
060014362001,0
060014362002,4
060014363011,4
060014363012,4
060014363021,4
060014363022,4
060014363023,4
060014364021,4
060014364022,4
060014364031,4
060014364032,4
060014364033,4
060014364034,4
060014364041,4
060014364042,4
060014364043,4
060014365001,4
060014365002,4
060014365003,4
060014366011,4
060014366012,4
060014366013,4
060014366021,0
060014366022,4
060014366023,0
060014367001,0
060014367002,0
060014368001,0
060014368002,0
060014369001,0
060014369002,0
060014369003,0
060014369004,0
060014370001,0
060014370002,0
060014370003,0
060014371011,0
060014371012,0
060014371013,0
060014371014,0
060014371021,0
060014371022,0
060014371023,0
060014372001,0
060014372002,0
060014372003,0
060014372004,0
060014372005,0
060014373001,0
060014373002,0
060014373003,0
060014374001,0
060014374002,0
060014375001,0
060014375002,0
060014376001,0
060014376002,0
060014377011,0
060014377012,0
060014377013,0
060014377021,0
060014377022,0
060014377023,0
060014378001,0
060014378002,4
060014378003,0
060014379001,4
060014379002,4
060014380001,0
060014380002,0
060014381001,0
060014381002,0
060014381003,0
060014381004,0
060014381005,0
060014381006,0
060014382011,0
060014382012,0
060014382013,0
060014382031,0
060014382032,0
060014382041,0
060014382042,0
060014382043,0
060014383001,0
060014383002,0
060014383003,0
060014384001,0
060014384002,0
060014401001,0
060014402001,0
060014402002,0
060014402003,0
060014402004,0
060014403011,0
060014403012,0
060014403013,0
060014403014,0
060014403041,0
060014403042,0
060014403043,0
060014403051,0
060014403052,0
060014403053,0
060014403061,0
060014403062,0
060014403071,0
060014403072,0
060014403073,0
060014403081,0
060014403082,0
060014403083,0
060014403084,0
060014403311,0
060014403312,0
060014403321,0
060014403322,0
060014403331,0
060014403332,0
060014403341,0
060014403342,0
060014403361,0
060014403362,0
060014403371,0
060014403381,0
060014403382,0
060014403383,0
060014411001,0
060014411002,0
060014412001,0
060014412002,0
060014412003,0
060014412004,0
060014412005,0
060014413011,0
060014413012,0
060014413021,0
060014413022,0
060014413023,0
060014413024,0
060014414011,0
060014414012,0
060014414013,0
060014414014,0
060014414015,0
060014414021,0
060014414022,0
060014414023,0
060014415011,0
060014415012,0
060014415013,0
060014415031,0
060014415032,0
060014415033,0
060014415034,0
060014415211,0
060014415212,0
060014415213,0
060014415214,0
060014415221,0
060014415222,0
060014415223,0
060014415231,0
060014415232,0
060014415233,0
060014415241,0
060014415242,0
060014415251,0
060014415252,0
060014415253,0
060014416011,0
060014416012,0
060014416013,0
060014416021,0
060014416022,0
060014416023,0
060014417011,0
060014417012,0
060014417021,0
060014417022,0
060014418001,0
060014418002,0
060014418003,0
060014418004,0
060014419211,0
060014419212,0
060014419231,0
060014419232,0
060014419233,0
060014419234,0
060014419241,0
060014419242,0
060014419243,0
060014419244,0
060014419245,0
060014419261,0
060014419262,0
060014419271,0
060014419272,0
060014419281,0
060014419282,0
060014419291,0
060014419292,0
060014420001,0
060014420002,0
060014421001,0
060014421002,0
060014421003,0
060014422001,0
060014422002,0
060014422003,0
060014422004,0
060014423011,0
060014423012,0
060014423013,0
060014423021,0
060014423022,0
060014423023,0
060014424001,0
060014424002,0
060014424003,0
060014424004,0
060014425011,0
060014425012,0
060014425021,0
060014425022,0
060014426011,0
060014426012,0
060014426021,0
060014426022,0
060014426023,0
060014427001,0
060014427002,0
060014427003,0
060014428001,0
060014429001,0
060014429002,0
060014429003,0
060014429004,0
060014430011,0
060014430012,0
060014430021,0
060014430022,0
060014430023,0
060014431021,0
060014431022,0
060014431023,0
060014431024,0
060014431031,0
060014431032,0
060014431033,0
060014431041,0
060014431042,0
060014431043,0
060014431044,0
060014431051,0
060014431052,0
060014432001,0
060014432002,0
060014433011,0
060014433012,0
060014433013,0
060014433211,0
060014433212,0
060014433221,0
060014433222,0
060014441001,0
060014441002,0
060014441003,0
060014441004,0
060014442001,0
060014442002,0
060014442003,0
060014443011,0
060014443012,0
060014443031,0
060014443041,0
060014443042,0
060014444001,0
060014444002,0
060014444003,0
060014445001,0
060014445002,0
060014445003,0
060014445004,0
060014446011,0
060014446012,0
060014446021,0
060014446022,0
060014501011,4
060014501012,4
060014501021,4
060014501022,4
060014502001,4
060014502002,4
060014502003,4
060014503001,4
060014503002,4
060014503003,4
060014504001,4
060014504002,4
060014504003,4
060014504004,4
060014505011,4
060014505012,4
060014505021,4
060014505022,4
060014506011,4
060014506012,4
060014506013,4
060014506031,4
060014506032,4
060014506033,4
060014506034,4
060014506041,4
060014506042,4
060014506043,4
060014506044,4
060014506051,4
060014506052,4
060014506053,4
060014506061,4
060014506062,4
060014506063,4
060014506071,4
060014506072,4
060014506073,4
060014506081,4
060014506082,4
060014506083,4
060014506091,4
060014506092,4
060014506093,4
060014507011,4
060014507012,4
060014507013,4
060014507014,4
060014507015,4
060014507411,4
060014507412,4
060014507413,4
060014507421,4
060014507422,4
060014507423,4
060014507431,4
060014507432,4
060014507433,4
060014507434,4
060014507441,4
060014507442,4
060014507451,4
060014507452,4
060014507453,4
060014507461,4
060014507462,4
060014507501,4
060014507502,4
060014507511,4
060014507512,4
060014507521,4
060014507522,4
060014511021,4
060014511022,4
060014511023,4
060014511031,4
060014511032,4
060014511041,4
060014511042,4
060014511043,4
060014512011,4
060014512012,4
060014512013,4
060014512014,4
060014512021,4
060014512022,4
060014512023,4
060014513001,4
060014513002,4
060014513003,4
060014514011,4
060014514012,4
060014514013,4
060014514031,4
060014514032,4
060014514041,4
060014514042,4
060014514043,4
060014514044,4
060014515011,4
060014515012,4
060014515013,4
060014515031,4
060014515032,4
060014515033,4
060014515034,4
060014515035,4
060014515041,4
060014515051,4
060014515052,4
060014515061,4
060014515062,4
060014516011,4
060014516012,4
060014516013,4
060014516021,4
060014516022,4
060014516023,4
060014516024,4
060014516025,4
060014517011,4
060014517012,4
060014517013,4
060014517031,4
060014517032,4
060014517041,4
060014517042,4
060014517043,4
060019819001,3
060019820001,3
060019821001,3
060019832001,3
060019832002,3
060019900000,3
060030100001,4
060050001011,4
060050001012,4
060050001013,4
060050001014,4
060050001015,4
060050001021,4
060050001022,4
060050002011,4
060050002012,4
060050002013,4
060050002021,4
060050002022,4
060050003011,4
060050003012,4
060050003031,4
060050003032,4
060050003033,4
060050003041,4
060050003042,4
060050004011,4
060050004012,4
060050004013,4
060050004014,4
060050004021,4
060050004022,4
060050004023,4
060050004024,4
060050005001,4
060050005002,4
060050005003,4
060070001021,3
060070001022,3
060070001023,3
060070001031,3
060070001032,3
060070001041,3
060070001042,3
060070001043,3
060070001044,3
060070002011,3
060070002012,3
060070002013,3
060070002014,3
060070002021,3
060070002022,3
060070002023,3
060070002024,3
060070003001,3
060070003002,3
060070003003,3
060070003004,3
060070004011,3
060070004012,3
060070004031,3
060070004032,3
060070004041,3
060070004042,3
060070005011,3
060070005012,3
060070005013,3
060070005014,3
060070005015,3
060070005021,3
060070005022,3
060070005023,3
060070005024,3
060070006011,3
060070006012,3
060070006013,3
060070006031,3
060070006032,3
060070006033,3
060070006041,3
060070006042,3
060070006043,3
060070006044,3
060070006045,3
060070007001,3
060070007002,3
060070007003,3
060070007004,3
060070008001,3
060070008002,3
060070008003,3
060070008004,3
060070008005,3
060070008006,3
060070009011,3
060070009031,3
060070009032,3
060070009033,3
060070009034,3
060070009041,3
060070009042,3
060070009043,3
060070009044,3
060070010001,3
060070010002,3
060070010003,3
060070010004,3
060070010005,3
060070010006,3
060070011001,3
060070011002,3
060070011003,3
060070011004,3
060070011005,3
060070012001,3
060070012002,3
060070012003,3
060070012004,3
060070013001,3
060070013002,3
060070013003,3
060070013004,3
060070014001,3
060070014002,3
060070014003,3
060070014004,3
060070015001,3
060070015002,3
060070015003,3
060070015004,3
060070015005,3
060070016011,3
060070016012,3
060070016021,3
060070016022,3
060070016023,3
060070017021,3
060070017022,3
060070017023,3
060070017024,3
060070017031,3
060070017032,3
060070017041,3
060070017042,3
060070017043,3
